TimeStamp, Joint1Tx,Joint1Ty,Joint1Tz,Joint2Tx,Joint2Ty,Joint2Tz,Joint3Tx,Joint3Ty,Joint3Tz,Joint1Ix,Joint1Iy,Joint1Iz,Joint2Ix,Joint2Iy,Joint2Iz,Joint3Ix,Joint3Iy,Joint3Iz,Joint1Mx,Joint1My,Joint1Mz,Joint2Mx,Joint2My,Joint2Mz,Joint3Mx,Joint3My,Joint3Mz,Joint1Rx,Joint1Ry,Joint1Rz,Joint2Rx,Joint2Ry,Joint2Rz,Joint3Rx,Joint3Ry,Joint3Rz,Joint1Px,Joint1Py,Joint1Pz,Joint2Px,Joint2Py,Joint2Pz,Joint3Px,Joint3Py,Joint3Pz,ThumbClosure,IndexClosure,MiddleClosure,ThumbAbduction
105.0979,-36.64636,161.2363,-33.83081,3.237504,139.8617,-21.78232,30.35431,129.5585,-21.2749,68.65285,-89.33276,-4.358856,25.195,91.92302,-179.5419,-55.31683,85.00603,-174.1485,77.90829,-56.49503,24.32602,5.825588,97.40704,174.6921,-80.23431,-106.7643,24.66138,73.09643,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32995,65.07871,13.73432,76.24268,4.765784,122.5417,155.0941,-62.19043,-134.7927,80.48936,0.8588235,0.8627451,1,0.6470588
105.151,-35.07684,163.1296,-34.41364,5.370435,140.9868,-22.83197,33.06854,129.4852,-23.16373,69.39863,-89.41483,-4.338226,23.41022,91.80229,-179.5713,-57.98834,84.42584,-173.6472,77.90831,-56.49506,24.32601,5.825582,97.40704,174.6921,-80.23428,-106.7643,24.66134,73.09647,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28964,-161.8603,94.32994,65.0787,13.73431,76.24268,4.765779,122.5416,155.0941,-62.19043,-134.7927,80.48938,0.8941177,0.8784314,1,0.5921569
105.2031,-32.55646,165.7773,-35.32208,8.789144,142.3068,-24.59332,37.35892,128.531,-26.60455,70.38728,-89.52606,-4.313538,21.04815,91.64532,-179.6067,-61.5209,83.51192,-172.8376,77.90829,-56.49503,24.32602,5.825581,97.40704,174.6921,-80.23431,-106.7643,24.66134,73.09647,-3.890564,67.21898,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32994,65.07869,13.7343,76.24267,4.765782,122.5416,155.0941,-62.1904,-134.7927,80.48938,0.9333333,0.8901961,1,0.5372549
105.2565,-31.19272,167.105,-35.78854,10.53736,142.9188,-25.57245,39.44603,127.7969,-28.61716,70.87905,-89.58264,-4.302551,19.87468,91.5684,-179.623,-63.27386,82.97768,-172.3553,77.90826,-56.49503,24.32602,5.825583,97.40703,174.6921,-80.23431,-106.7643,24.66135,73.09647,-3.890564,67.21898,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32992,65.0787,13.7343,76.24266,4.765783,122.5416,155.0941,-62.19043,-134.7927,80.48938,0.9568627,0.8980392,1,0.5019608
105.311,-29.17554,168.9038,-36.48145,13.06801,143.5991,-27.08896,42.3684,126.2384,-31.89822,71.85753,-89.69797,-4.283508,17.54311,91.4174,-179.6527,-66.75125,81.69874,-171.1794,77.90829,-56.49506,24.32601,5.825584,97.40704,174.6921,-80.23428,-106.7643,24.66134,73.09647,-3.890564,67.21897,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32994,65.07871,13.73432,76.24268,4.765782,122.5416,155.0941,-62.19043,-134.7927,80.48938,0.9921569,0.9137255,1,0.4509804
105.3641,-28.27548,169.8217,-36.69781,14.00281,144.1699,-27.68884,43.27409,126.0024,-33.15857,72.10112,-89.72729,-4.279419,16.96342,91.38021,-179.6596,-67.61426,81.32373,-170.8301,77.90831,-56.495,24.32606,5.825583,97.40703,174.692,-80.23431,-106.7643,24.66138,73.09645,-3.890564,67.21898,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32996,65.07869,13.73432,76.24268,4.765781,122.5416,155.0941,-62.19043,-134.7927,80.48936,1,0.9176471,1,0.427451
105.4215,-27.98911,170.1626,-36.73401,14.24708,144.4552,-27.84647,43.45818,126.1168,-33.46347,71.85755,-89.69794,-4.283508,17.54311,91.41739,-179.6527,-66.75128,81.69875,-171.1795,77.90829,-56.49503,24.32603,5.825584,97.40703,174.6921,-80.23425,-106.7643,24.66137,73.09645,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32996,65.07869,13.73432,76.24268,4.76578,122.5416,155.0941,-62.19043,-134.7927,80.4894,1,0.9137255,1,0.4196078
105.4732,-27.41605,170.8408,-36.80032,14.73766,145.0246,-28.15829,43.82754,126.3426,-34.07434,71.85755,-89.69797,-4.283508,17.54311,91.4174,-179.6527,-66.75128,81.69875,-171.1795,77.90831,-56.49503,24.32604,5.825589,97.40704,174.6921,-80.23434,-106.7643,24.66137,73.09645,-3.890564,67.21895,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32996,65.07868,13.73431,76.24267,4.765787,122.5417,155.0941,-62.1904,-134.7927,80.48939,1,0.9137255,1,0.4039216
105.5272,-27.41605,170.8407,-36.80032,14.73767,145.0246,-28.15829,43.82754,126.3426,-34.07434,71.36916,-89.63995,-4.292542,18.70632,91.49244,-179.6383,-65.01752,82.37795,-171.8072,77.90826,-56.49506,24.32601,5.825576,97.40704,174.6921,-80.23425,-106.7642,24.66131,73.09647,-3.890564,67.21897,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32993,65.07871,13.73431,76.24268,4.765776,122.5416,155.0941,-62.19043,-134.7927,80.48937,1,0.9058824,1,0.4
105.5786,-27.27274,171.0096,-36.81561,14.86073,145.1666,-28.23557,43.92011,126.3984,-34.22729,71.36913,-89.63995,-4.292542,18.70632,91.49245,-179.6383,-65.01752,82.37797,-171.8072,77.90829,-56.49506,24.326,5.825581,97.40703,174.6921,-80.23431,-106.7643,24.66135,73.09647,-3.890564,67.21897,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32994,65.07869,13.73431,76.24268,4.765778,122.5416,155.0941,-62.19043,-134.7927,80.48936,1,0.9019608,1,0.4039216
105.6288,-27.41605,170.8407,-36.80032,14.73767,145.0246,-28.15829,43.82754,126.3426,-34.07434,70.87904,-89.58264,-4.302551,19.87469,91.56839,-179.623,-63.27386,82.97768,-172.3553,77.90833,-56.49506,24.32602,5.825575,97.40703,174.6921,-80.23425,-106.7643,24.66134,73.09647,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32993,65.07871,13.73432,76.24268,4.765781,122.5416,155.0941,-62.19043,-134.7927,80.48938,1,0.8980392,1,0.4039216
105.6819,-27.84586,170.3326,-36.75134,14.36948,144.5977,-27.92484,43.55037,126.1737,-33.61606,70.38728,-89.52606,-4.313538,21.04814,91.64531,-179.6067,-61.5209,83.51192,-172.8376,77.90829,-56.49503,24.32602,5.82558,97.40703,174.692,-80.23431,-106.7643,24.66135,73.09647,-3.890564,67.21896,-2.895966,112.5702,164.662,-70.28961,-161.8603,94.32992,65.0787,13.73432,76.24268,4.765776,122.5416,155.0941,-62.19043,-134.7927,80.48938,1,0.8901961,1,0.4156863
